Plant Species,Functional Group,Molecular Weight (g/mol),pKa,log Kow, Exposure time  (hrs),RCF (L/g),SCF (L/g)  ,TF
Cabbage,Carboxylate,664.1,0.54,8.76,960,0.241,0.006,0.025
Cabbage,Carboxylate,664.1,0.54,8.76,960,0.184,0.0005,0.003
Cabbage,Carboxylate,664.1,0.54,8.76,960,0.168,0.0006,0.004
Cabbage,Carboxylate,664.1,0.54,8.76,960,0.115,0.0006,0.005
Cabbage,Carboxylate,714.11,0.54,5.1,960,0.226,0.006,0.027
Cabbage,Carboxylate,714.11,0.54,5.1,960,0.263,0.0006,0.002
Cabbage,Carboxylate,714.11,0.54,5.1,960,0.169,0.0001,0.001
Cabbage,Carboxylate,714.11,0.54,5.1,960,0.119,0.00006,0.001
Cabbage,Sulfonate,300.1,-1.61,2.79,960,0.015,0.0001,0.007
Cabbage,Sulfonate,300.1,-1.61,2.79,960,0.02,0.0005,0.025
Cabbage,Sulfonate,300.1,-1.61,2.79,960,0.012,0.0003,0.025
Cabbage,Sulfonate,300.1,-1.61,2.79,960,0.018,0.0005,0.028
Cabbage,Sulfonate,400.1,-1.64,2.2,960,0.046,0.00015,0.003
Cabbage,Sulfonate,400.1,-1.64,2.2,960,0.038,0.0012,0.032
Cabbage,Sulfonate,400.1,-1.64,2.2,960,0.021,0.0009,0.043
Cabbage,Sulfonate,400.1,-1.64,2.2,960,0.027,0.001,0.037
